32 - Contraceptive prevalence among women who are married or in a union  aged 15-49

Indicator Name,Region,Country Code,Country,Year,Sex,Value,LowerBound,UpperBound,NatureDataID,OriginDataID,Footnote1,Footnote2,Footnote3,Footnote4,Footnote5,Footnote6,Coverage
Contraceptive prevalence among women who are married or in a union  aged 15-49,Southern Asia,4,Afghanistan,2003,Female,10.3,-,-,1,1,Adjusted.,Data pertain to women aged less than 50.,Source: 2003 MICS,-,-,-,-
Contraceptive prevalence among women who are married or in a union  aged 15-49,Southern Asia,4,Afghanistan,2008,Female,22.8,-,-,1,1,Source: Afghanistan 2007-2008 National Risk and Vulnerability Assessment,Year of the survey: 2007 - 2008,-,-,-,-,-
Contraceptive prevalence among women who are married or in a union  aged 15-49,Southern Asia,4,Afghanistan,2000,Female,4.9,-,-,1,1,Figures by method do not add up to the total.,Source: 2000 MICS,Data pertain to women aged 12 to 49.,Data are not nationally-representative.,-,-,-
Contraceptive prevalence among women who are married or in a union  aged 15-49,Southern Asia,4,Afghanistan,2005,Female,13.6,-,-,1,1,Source: Afghanistan 2005 National Risk and Vulnerability Assessment,Adjusted.,Data pertain to women aged less than 50.,-,-,-,-
Contraceptive prevalence among women who are married or in a union  aged 15-49,Southern Asia,4,Afghanistan,2010,Female,21.8,-,-,1,1,Source: Afghanistan 2010 Mortality Survey,Excluding areas in the South zone.,-,-,-,-,-
Contraceptive prevalence among women who are married or in a union  aged 15-49,Southern Asia,4,Afghanistan,2006,Female,18.6,-,-,1,1,Source: Afghanistan 2006 Health Survey,Figures by method do not add up to the total.,Data pertain to women aged 10 to 49.,Excluding the six largest cities and five of 34 provinces.,-,-,-
Contraceptive prevalence among women who are married or in a union  aged 15-49,Southern Asia,4,Afghanistan,2011,Female,21.2,-,-,1,1,Year of the survey: 2010 - 2011,Source: 2010 - 2011 MICS,-,-,-,-,-
Contraceptive prevalence among women who are married or in a union  aged 15-49,Southern Asia,50,Bangladesh,2000,Female,54.3,-,-,1,1,Source: 1999 - 2000 DHS,Year of the survey: 1999 - 2000,-,-,-,-,-
Contraceptive prevalence among women who are married or in a union  aged 15-49,Southern Asia,50,Bangladesh,2007,Female,55.8,-,-,1,1,Source: 2007 DHS,-,-,-,-,-,-
Contraceptive prevalence among women who are married or in a union  aged 15-49,Southern Asia,50,Bangladesh,2004,Female,58.5,-,-,1,1,Source: 2004 DHS,-,-,-,-,-,-
Contraceptive prevalence among women who are married or in a union  aged 15-49,Southern Asia,50,Bangladesh,2011,Female,61.2,-,-,1,1,Figures by method do not add up to the total.,Source: 2011 DHS,-,-,-,-,-
Contraceptive prevalence among women who are married or in a union  aged 15-49,Southern Asia,50,Bangladesh,1997,Female,49.8,-,-,1,1,Year of the survey: 1996 - 1997,Source: 1996 - 1997 DHS,-,-,-,-,-
Contraceptive prevalence among women who are married or in a union  aged 15-49,Southern Asia,50,Bangladesh,2013,Female,61.8,-,-,1,1,Preliminary data.,Source: 2012 - 2013 MICS,Year of the survey: 2012 - 2013,-,-,-,-
Contraceptive prevalence among women who are married or in a union  aged 15-49,Southern Asia,64,Bhutan,2000,Female,30.7,-,-,1,1,Source: Bhutan 2000 National Health Survey,-,-,-,-,-,-
Contraceptive prevalence among women who are married or in a union  aged 15-49,Southern Asia,64,Bhutan,2007,Female,35.4,-,-,1,1,Source: 2007 MICS,-,-,-,-,-,-
Contraceptive prevalence among women who are married or in a union  aged 15-49,Southern Asia,64,Bhutan,2010,Female,65.6,-,-,1,1,Source: 2010 MICS,-,-,-,-,-,-
Contraceptive prevalence among women who are married or in a union  aged 15-49,Southern Asia,144,Sri Lanka,2000,Female,70,-,-,1,1,Source: Sri Lanka 2000 Demographic and Health Survey (national),-,-,-,-,-,-
Contraceptive prevalence among women who are married or in a union  aged 15-49,Southern Asia,144,Sri Lanka,2007,Female,68.4,-,-,1,1,Year of the survey: 2006 - 2007,Source: 2006 - 2007 DHS,Excluding the Northern Province.,-,-,-,-
Contraceptive prevalence among women who are married or in a union  aged 15-49,Southern Asia,356,India,1999,Female,48.2,-,-,1,1,Adjusted.,Year of the survey: 1998 - 1999,Source: 1998 - 1999 DHS,Excluding the state of Tripura.,-,-,-
Contraceptive prevalence among women who are married or in a union  aged 15-49,Southern Asia,356,India,2008,Female,54.8,-,-,1,1,Year of the survey: 2007 - 2008,Figures by method do not add up to the total.,Source: India 2007-2008 District Level Household Survey,-,-,-,-
Contraceptive prevalence among women who are married or in a union  aged 15-49,Southern Asia,356,India,2000,Female,46.9,-,-,1,1,Source: 2000 MICS,-,-,-,-,-,-
Contraceptive prevalence among women who are married or in a union  aged 15-49,Southern Asia,356,India,2004,Female,53,-,-,1,1,Adjusted.,Data pertain to women aged 15 to 44.,Year of the survey: 2002 - 2004,Source: India 2002-2004 District Level Household Survey,-,-,-
Contraceptive prevalence among women who are married or in a union  aged 15-49,Southern Asia,356,India,2006,Female,56.3,-,-,1,1,Figures by method do not add up to the total.,Year of the survey: 2005 - 2006,Source: 2005 - 2006 DHS,-,-,-,-
Contraceptive prevalence among women who are married or in a union  aged 15-49,Southern Asia,364,Iran (Islamic Republic of),2000,Female,73.8,-,-,1,1,Source: Iran (Islamic Republic of) 2000 Demographic and Health Survey,-,-,-,-,-,-
Contraceptive prevalence among women who are married or in a union  aged 15-49,Southern Asia,364,Iran (Islamic Republic of),1996,Female,73.7,-,-,1,1,Figures by method do not add up to the total.,Adjusted.,Source: Iran (Islamic Republic of) 1996 Knowledge  Attitudes and Practice (KAP) Survey,-,-,-,-
Contraceptive prevalence among women who are married or in a union  aged 15-49,Southern Asia,364,Iran (Islamic Republic of),1995,Female,72.8,-,-,1,1,Source: Iran (Islamic Republic of) 1995 Knowledge  Attitudes and Practice (KAP) Survey,-,-,-,-,-,-
Contraceptive prevalence among women who are married or in a union  aged 15-49,Southern Asia,364,Iran (Islamic Republic of),2011,Female,77.4,-,-,1,1,Year of the survey: 2010 - 2011,Figures by method do not add up to the total.,Source: Iran (Islamic Republic of) 2010 MIDHS,-,-,-,-
Contraceptive prevalence among women who are married or in a union  aged 15-49,Southern Asia,364,Iran (Islamic Republic of),1997,Female,72.9,-,-,1,1,Source: Iran (Islamic Republic of) 1997 Knowledge  Attitudes and Practice (KAP) Survey,-,-,-,-,-,-
Contraceptive prevalence among women who are married or in a union  aged 15-49,Southern Asia,364,Iran (Islamic Republic of),2002,Female,73.3,-,-,1,1,Data pertain to a non-standard age or marital status group.,Source: Iran (Islamic Republic of) 2002 Socioeconomic Characteristics of Iranian Households,-,-,-,-,-
Contraceptive prevalence among women who are married or in a union  aged 15-49,Southern Asia,462,Maldives,1999,Female,42,-,-,1,1,Figures by method do not add up to the total.,Source: Maldives 1999 Reproductive Health Baseline Survey,-,-,-,-,-
