35a - Antenatal care coverage  at least one visit

Indicator Name,Region,Country Code,Country,Year,Sex,Value,LowerBound,UpperBound,NatureDataID,OriginDataID,Footnote1,Footnote2,Footnote3,Footnote4,Footnote5,Footnote6,Coverage
Antenatal care coverage  at least one visit,Southern Asia,4,Afghanistan,2003,Female,16.1,-,-,1,1,Source: MICS_2003,-,-,-,-,-,-
Antenatal care coverage  at least one visit,Southern Asia,4,Afghanistan,2008,Female,36,-,-,1,1,Source: Other NS_2008,-,-,-,-,-,-
Antenatal care coverage  at least one visit,Southern Asia,4,Afghanistan,2010,Female,59.6,-,-,1,1,Source: DHS_2010,-,-,-,-,-,-
Antenatal care coverage  at least one visit,Southern Asia,4,Afghanistan,2010,Female,47.9,-,-,1,1,Source: MICS_2010-2011,-,-,-,-,-,-
Antenatal care coverage  at least one visit,Southern Asia,4,Afghanistan,2011,Female,51.2,-,-,1,1,Source: National Risk and Vulnerability Assessment 2011-12 (Afghanistan Living Condition Survey) CSO_2014,-,-,-,-,-,-
Antenatal care coverage  at least one visit,Southern Asia,4,Afghanistan,2013,Female,63.2,-,-,1,1,Source: Living Conditions Survey_2013-2014,-,-,-,-,-,-
Antenatal care coverage  at least one visit,Southern Asia,4,Afghanistan,2015,Female,58.6,-,-,1,1,Source: DHS KIR(Prelim)_2015,-,-,-,-,-,-
Antenatal care coverage  at least one visit,Southern Asia,50,Bangladesh,1999,Female,33.3,-,-,1,1,Source: DHS_1999-2000,-,-,-,-,-,-
Antenatal care coverage  at least one visit,Southern Asia,50,Bangladesh,2003,Female,39.7,-,-,1,1,-,-,-,-,-,-,-
Antenatal care coverage  at least one visit,Southern Asia,50,Bangladesh,2000,Female,39.7,-,-,1,1,Source: MICS_2000,-,-,-,-,-,-
Antenatal care coverage  at least one visit,Southern Asia,50,Bangladesh,2007,Female,51.7,-,-,1,1,Source: DHS_2007,-,-,-,-,-,-
Antenatal care coverage  at least one visit,Southern Asia,50,Bangladesh,2010,Female,52.8,-,-,1,1,Source: Maternal Mortality and Health Care Survey (Prelim)_2011,-,-,-,-,-,-
Antenatal care coverage  at least one visit,Southern Asia,50,Bangladesh,1996,Female,26.4,-,-,1,1,Source: DHS_1996-1997,-,-,-,-,-,-
Antenatal care coverage  at least one visit,Southern Asia,50,Bangladesh,2001,Female,39.8,-,-,1,1,Source: DHS_2001,-,-,-,-,-,-
Antenatal care coverage  at least one visit,Southern Asia,50,Bangladesh,2004,Female,48.7,-,-,1,1,Source: DHS_2004,-,-,-,-,-,-
Antenatal care coverage  at least one visit,Southern Asia,50,Bangladesh,2006,Female,47.7,-,-,1,1,Source: MICS_2006,-,-,-,-,-,-
Antenatal care coverage  at least one visit,Southern Asia,50,Bangladesh,2011,Female,54.6,-,-,1,1,Source: DHS_2011,-,-,-,-,-,-
