41 - Life expectancy at age 60  by sex

Indicator Name,Region,Country Code,Country,Year,Sex,Value,LowerBound,UpperBound,NatureDataID,OriginDataID,Footnote1,Footnote2,Footnote3,Footnote4,Footnote5,Footnote6,Coverage
Life expectancy at age 60  by sex,Southern Asia,4,Afghanistan,2000,Female,15.87,-,-,3,2,0,0,0,0,0,-,-
Life expectancy at age 60  by sex,Southern Asia,4,Afghanistan,2000,Male,14.43,-,-,3,2,0,0,0,0,0,-,-
Life expectancy at age 60  by sex,Southern Asia,4,Afghanistan,2000,Both sexes,15.15,-,-,3,2,0,0,0,0,0,-,-
Life expectancy at age 60  by sex,Southern Asia,4,Afghanistan,2005,Female,16.18,-,-,3,2,0,0,0,0,0,-,-
Life expectancy at age 60  by sex,Southern Asia,4,Afghanistan,2005,Male,14.71,-,-,3,2,0,0,0,0,0,-,-
Life expectancy at age 60  by sex,Southern Asia,4,Afghanistan,2005,Both sexes,15.45,-,-,3,2,0,0,0,0,0,-,-
Life expectancy at age 60  by sex,Southern Asia,4,Afghanistan,2010,Female,16.47,-,-,3,2,0,0,0,0,0,-,-
Life expectancy at age 60  by sex,Southern Asia,4,Afghanistan,2010,Male,14.95,-,-,3,2,0,0,0,0,0,0,-
Life expectancy at age 60  by sex,Southern Asia,4,Afghanistan,2010,Both sexes,15.72,-,-,3,2,0,0,0,0,0,-,-
Life expectancy at age 60  by sex,Southern Asia,4,Afghanistan,1995,Female,15.62,-,-,3,2,0,0,0,0,0,-,-
Life expectancy at age 60  by sex,Southern Asia,4,Afghanistan,1995,Male,14.19,-,-,3,2,0,0,0,0,0,-,-
Life expectancy at age 60  by sex,Southern Asia,4,Afghanistan,1995,Both sexes,14.89,-,-,3,2,0,0,0,0,0,-,-
Life expectancy at age 60  by sex,Southern Asia,50,Bangladesh,2000,Female,18.16,-,-,3,2,0,0,0,0,0,0,-
Life expectancy at age 60  by sex,Southern Asia,50,Bangladesh,2000,Male,17.71,-,-,3,2,0,0,0,0,0,0,-
Life expectancy at age 60  by sex,Southern Asia,50,Bangladesh,2000,Both sexes,17.93,-,-,3,2,0,0,0,0,0,0,-
Life expectancy at age 60  by sex,Southern Asia,50,Bangladesh,2005,Female,18.61,-,-,3,2,0,0,0,0,0,0,-
Life expectancy at age 60  by sex,Southern Asia,50,Bangladesh,2005,Male,17.96,-,-,3,2,0,0,0,0,0,0,-
Life expectancy at age 60  by sex,Southern Asia,50,Bangladesh,2005,Both sexes,18.27,-,-,3,2,0,0,0,0,0,0,-
Life expectancy at age 60  by sex,Southern Asia,50,Bangladesh,2010,Female,19.12,-,-,3,2,0,0,0,0,0,0,-
Life expectancy at age 60  by sex,Southern Asia,50,Bangladesh,2010,Male,18.24,-,-,3,2,0,0,0,0,0,0,-
Life expectancy at age 60  by sex,Southern Asia,50,Bangladesh,2010,Both sexes,18.66,-,-,3,2,0,0,0,0,0,0,-
Life expectancy at age 60  by sex,Southern Asia,50,Bangladesh,1995,Female,17.37,-,-,3,2,0,0,0,0,0,0,-
Life expectancy at age 60  by sex,Southern Asia,50,Bangladesh,1995,Male,17.37,-,-,3,2,0,0,0,0,0,0,-
Life expectancy at age 60  by sex,Southern Asia,50,Bangladesh,1995,Both sexes,17.37,-,-,3,2,0,0,0,0,0,0,-
Life expectancy at age 60  by sex,Southern Asia,64,Bhutan,2000,Female,17.91,-,-,3,2,0,0,0,0,0,-,-
Life expectancy at age 60  by sex,Southern Asia,64,Bhutan,2000,Male,18.12,-,-,3,2,0,0,0,0,0,-,-
Life expectancy at age 60  by sex,Southern Asia,64,Bhutan,2000,Both sexes,18.03,-,-,3,2,0,0,0,0,0,-,-
Life expectancy at age 60  by sex,Southern Asia,64,Bhutan,2005,Female,19.11,-,-,3,2,0,0,0,0,0,-,-
