51 - Percentage of women aged 20-24 years old who were married or in a union before age 18

Indicator Name,Region,Country Code,Country,Year,Sex,Value,LowerBound,UpperBound,NatureDataID,OriginDataID,Footnote1,Footnote2,Footnote3,Footnote4,Footnote5,Footnote6,Coverage
Percentage of women aged 20-24 years old who were married or in a union before age 18,Southern Asia,4,Afghanistan,2010,Female,40.4,-,-,1,1,-,-,-,-,-,-,-
Percentage of women aged 20-24 years old who were married or in a union before age 18,Southern Asia,4,Afghanistan,2011,Female,40.4,-,-,1,1,-,-,-,-,-,-,-
Percentage of women aged 20-24 years old who were married or in a union before age 18,Southern Asia,50,Bangladesh,2007,Female,66.2,-,-,1,1,-,-,-,-,-,-,-
Percentage of women aged 20-24 years old who were married or in a union before age 18,Southern Asia,50,Bangladesh,2011,Female,64.9,-,-,1,1,-,-,-,-,-,-,-
Percentage of women aged 20-24 years old who were married or in a union before age 18,Southern Asia,50,Bangladesh,2013,Female,52.3,-,-,1,1,-,-,-,-,-,-,-
Percentage of women aged 20-24 years old who were married or in a union before age 18,Southern Asia,64,Bhutan,2010,Female,25.8,-,-,1,1,-,-,-,-,-,-,-
Percentage of women aged 20-24 years old who were married or in a union before age 18,Southern Asia,144,Sri Lanka,2007,Female,11.8,-,-,1,1,-,-,-,-,-,-,-
Percentage of women aged 20-24 years old who were married or in a union before age 18,Southern Asia,144,Sri Lanka,2006,Female,11.8,-,-,1,1,-,-,-,-,-,-,-
Percentage of women aged 20-24 years old who were married or in a union before age 18,Southern Asia,356,India,2005,Female,47.4,-,-,1,1,-,-,-,-,-,-,-
Percentage of women aged 20-24 years old who were married or in a union before age 18,Southern Asia,356,India,2006,Female,47.4,-,-,1,1,-,-,-,-,-,-,-
Percentage of women aged 20-24 years old who were married or in a union before age 18,Southern Asia,364,Iran (Islamic Republic of),2010,Female,16.7,-,-,1,1,-,-,-,-,-,-,-
Percentage of women aged 20-24 years old who were married or in a union before age 18,Southern Asia,462,Maldives,2009,Female,3.9,-,-,1,1,-,-,-,-,-,-,-
