geo,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Afghanistan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.19,0,0,0,3.33,0,0,0,0,
Albania,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.9,10.5,28.3,24.2,19.9,14.8,13.6,16.6,20.9,21.4,19.3,19.9,19.1,18.2,17.5,17.2,16.8,16.4,13.7,15.6,15.8,13.8,11.5,13.4,0,17.1,0,
Algeria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.1,20.7,22.8,0,0,0,0,0,26.2,0,0,29.7,0,0,25.4,18.2,0,0,0,0,18.1,19.1,0,17,16.3,15.6,16.6,18.2,20.6
Angola,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.7,28.5,35.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.1,0,0,0,0,0,0,7.71,0,0,0,0,0,
Antigua and Barbuda,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.3,27,27.4,26.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Argentina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.4,4.8,4.19,0,0,6.6,7.2,7.8,6.93,8.09,6.73,12.7,14.1,22.3,19.3,17.8,14.1,15.2,16.4,17.2,18.8,17.5,15.7,13.5,12.3,0,9.68,9.83,8.54,8.5,9.52,8.71,8.21,0,0,9.45
Armenia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.4,7.4,8.5,10.4,15.2,17.4,13.3,15,0,0,0,0,0,0,0,35,0,19.9,21.2,24.6,18.2,18.1,19.4,19.2,17.5,17.5
Australia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.19,7.86,7.43,8.53,10.4,9.48,8.76,8.71,8.62,7.9,6.84,7.19,9.15,9.93,10,9.36,8.11,8.24,8.07,7.33,6.66,6.06,6.45,6.16,5.98,5.54,5.22,4.92,4.78,4.57,5.4,5.38,5.3,5.33,5.61,6.17,6.07,5.78,5.67
Austria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3.8,2.4,2.3,2.1,2.2,2.8,2.7,2.5,2.6,2.5,2.3,2.7,3.5,4.1,4.3,4.7,5.2,4.05,3.99,3.58,3.57,6.9,3.77,4.5,3.96,4.9,5.21,5.27,5.59,4.76,4.59,4.13,4.53,4.34,5.89,5.86,5.6,5.3,4.41,5.09,4.63,4.58,4.79,5.29,5.38,5.31,5.54,5.03
Azerbaijan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.16,0.23,0.72,0.87,1,1.1,1.24,1.35,18.6,1.4,1.5,1.5,1.5,1.5,1.5,1.3,1.2,1,0,0,0,0,0,0,5.87,6,5.9
Bahamas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.3,0,27,0,25.7,0,21.1,0,0,0,0,0,0,14.9,0,14.2,12.4,7.88,12.1,15.9,13,15.2,11.7,14.7,11.3,9.97,9.72,0,7.02,0,11.8,0,11.2,8.02,9.07,9.25,14,0,15.3,14,16.3,0,0,0,
