geo,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Afghanistan,0,0,0,0,0,0,0,0,0,0,0,0,1.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.3,0,0,10.3,0,13.6,18.6,0,22.8,0,21.8,21.2,0,0,0,22.5,0,
Albania,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57.5,0,75.1,0,0,60.1,0,0,0,69.3,0,0,0,0,0,0,0,
Algeria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.8,0,0,0,0,50.9,0,0,56.9,0,0,0,0,64,0,57,0,0,0,61.4,0,0,0,0,0,55.9,57.1,0,0,0,
Angola,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.1,0,0,0,0,6.2,0,0,0,0,0,0,0,17.7,0,0,0,0,0,0,13.7,
Antigua and Barbuda,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48.2,48.2,0,0,0,0,0,52.6,0,0,0,0,0,0,0,0,0,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Argentina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65.3,0,0,0,78.9,0,0,0,0,0,0,55.4,81.3,0,0,0,
Armenia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,0,0,0,0,0,0,0,0,60.5,0,0,0,0,53.1,0,0,0,0,54.9,0,0,0,0,0,57.1,
Australia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76.1,0,0,0,0,0,0,0,0,66.7,0,0,0,0,0,0,70.8,0,0,72.3,65.2,0,0,62,0,0,67.8,0,0,0,66.9,
Austria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71.4,0,0,0,0,0,0,0,0,0,0,0,0,0,50.9,0,0,0,0,0,0,0,0,0,0,0,0,69.6,0,0,0,65.7,0,0,0,
Azerbaijan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55.1,55.4,0,0,0,0,51.1,0,0,0,0,54.9,0,0,0,0,0,
Bahamas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61.7,0,0,0,0,0,0,0,0,0,0,0,0,44.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Bahrain,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53.8,0,0,0,0,0,61.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Bangladesh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.7,0,0,0,12.7,18.6,0,0,19.1,0,25.3,0,0,31.4,0,39.9,0,0,44.9,0,0,49.8,0,0,54.3,0,0,0,58.5,0,0,55.8,52.6,0,0,61.2,0,61.8,62.4,0,0,
Barbados,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46.5,0,0,0,0,0,0,55,0,0,0,0,0,0,0,0,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,59.2,0,0,0,0,
Belarus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50.4,0,0,0,0,0,0,0,0,0,72.6,0,0,0,0,0,0,63.1,0,0,0,0,
Belgium,0,0,0,0,0,72,0,0,0,0,0,0,0,0,0,87,0,0,0,0,0,0,81,0,0,0,0,0,0,0,0,78.4,0,0,0,0,56.5,0,0,0,75.6,0,0,74.6,0,0,0,0,70.4,0,0,0,66.8,0,0,0,
Belize,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46.7,0,0,0,0,0,0,0,56.1,0,0,0,0,0,0,34.3,0,0,0,0,55.2,0,0,0,51.4,0,
Benin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.6,0,0,0,0,0,0,0,0,0,0,0,0,0,16.4,0,0,0,0,18.6,0,0,0,0,16.9,0,0,0,0,0,12.9,0,17.9,0,0,
Bhutan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.8,0,0,0,0,0,30.7,0,0,0,0,0,0,35.4,0,0,65.6,0,0,0,0,0,0,
Bolivia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.6,0,0,0,0,0,30.3,0,0,0,0,45.3,0,0,0,48.3,0,53.4,0,0,58.4,0,0,0,0,60.5,0,0,0,0,0,0,0,66.5,
Bosnia and Herzegovina,0,0,0,0,0,0,0,0,0,42.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47.5,0,0,0,0,0,35.7,0,0,0,0,0,45.8,0,0,0,0,
Botswana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.8,0,0,0,33,0,0,0,0,0,0,0,41.7,0,0,0,44.4,0,0,0,0,0,0,0,52.8,0,0,0,0,0,0,0,0,
Brazil,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66.2,0,0,0,0,59.2,0,0,0,0,76.7,0,0,0,0,0,0,0,0,0,80.3,80.3,0,0,0,0,0,80.2,0,0,0,
Bulgaria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85.9,0,0,63.4,0,0,0,0,0,0,64.4,0,69.2,0,0,0,0,0,0,0,0,0,
Burkina Faso,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.9,0,0,0,0,0,11.9,0,0,0,13.8,0,0,17.4,0,0,0,16.2,0,0,0,18.1,20.8,25.5,25.4
Burundi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.7,0,0,0,0,0,0,0,0,0,0,0,0,15.7,0,19.7,0,0,9.1,0,0,0,22.7,21.9,0,31.7,0,0,0,0,28.5
Cambodia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.6,0,0,21.8,0,23.8,0,0,0,0,40,0,0,0,0,50.5,0,0,0,56.3,0,0,
Cameroon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.4,0,0,0,0,0,0,0,0,0,0,0,0,16.1,0,0,0,0,0,0,19.3,0,25.6,0,0,0,26,0,29.2,0,0,0,0,23.4,0,0,34.4,0,0,
Canada,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73.1,0,0,0,0,0,0,0,0,0,0,74.7,0,0,80,0,0,0,74,0,0,0,85,0,0,0,0,0,0,0,0,0,0,
Cape Verde,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.8,23.8,0,0,0,0,0,0,0,0,52.9,0,0,0,0,0,0,61.3,0,0,0,0,0,0,0,0,0,0,0,
Central African Republic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.8,0,0,0,0,27.9,0,0,0,0,0,19,0,0,0,0,15.2,0,0,0,0,0,
Chad,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.1,0,0,7.9,0,0,0,11.1,0,0,0,0,0,4.8,0,0,0,0,5.7,0,
Chile,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,0,0,0,0,0,0,0,0,0,0,0,56,0,0,0,0,0,0,0,0,0,0,60.7,0,0,0,0,64.2,0,0,0,0,0,0,0,0,0,76.3,
China,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69.5,0,0,74,0,0,71.1,0,0,0,84.6,0,90.7,90.4,91.1,83.8,0,83,83.8,86.9,0,0,0,0,84.6,0,89.3,89,89.1,88.6,87.9,0,0,0,0,
Colombia,0,0,0,0,0,0,0,0,20.5,0,0,0,0,0,0,42.5,0,46.1,0,48.5,0,0,0,0,0,64.8,0,0,0,66.1,0,0,0,0,72.2,0,0,0,0,76.9,0,0,0,0,78.2,0,0,0,0,79.1,0,0,0,0,81,0,
Comoros,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,25.7,0,0,0,0,0,0,0,0,0,0,0,19.4,0,0,0,0,
"Congo, Dem. Rep.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.8,25.8,0,0,0,0,0,0,7.7,0,0,0,0,0,0,0,0,0,31.4,0,0,0,0,0,20.6,0,0,17.7,0,0,0,20.4,0,0,
"Congo, Rep.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44.3,0,0,0,0,0,0,44.7,0,0,30.1,0,
Costa Rica,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64.4,64.4,63.8,0,0,65.2,0,0,0,0,69.5,0,0,0,0,0,0,75,0,0,0,0,0,80,0,0,0,0,0,96,0,96,80,81.1,82.2,76.2,0,0,0,0,0,
Cote d'Ivoire,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.9,0,0,0,0,0,0,0,0,0,0,0,0,11.4,0,0,0,0,15,0,0,0,0,0,0,12.9,0,0,0,0,0,18.2,0,0,0,15.5,
Croatia,0,0,0,0,0,0,0,0,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Cuba,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,60,0,0,0,0,70,0,0,0,0,0,0,0,0,0,0,0,0,73.3,0,0,0,0,0,72.6,77.1,0,77.8,77.8,74.3,0,0,73.7,0,0,
Czech Republic,0,0,0,0,0,0,0,0,0,66,0,0,0,0,0,0,95,0,0,0,0,0,0,0,0,0,0,0,0,0,78,0,68.9,0,0,0,72,0,0,0,0,0,0,0,78.2,0,0,86.3,0,0,0,0,0,0,0,0,
Denmark,0,0,0,0,0,0,0,0,0,67,0,0,0,0,63,0,0,0,0,0,0,0,0,0,0,0,0,78,0,0,0,76.5,76.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Djibouti,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,17.8,0,22.5,0,0,0,19,0,0,0,0,
Dominica,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62.3,62.3,0,0,0,0,49.8,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Dominican Republic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.8,0,0,0,0,42,0,0,45.8,0,0,49.8,0,0,0,0,56.4,0,0,0,0,63.7,0,0,69.2,64.7,0,69.8,0,0,0,61.3,72.9,0,0,73,0,0,71.9,69.5,0,0,
